"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO ESPECIAL";"COMBINADOS";"5,000";"1050,68"
"COMBINADO PRIME";"COMBINADOS";"11,000";"961,35"
"COUVERT ARTISTICO";"SUCOS E AGUA DE COCO";"64,000";"896,53"
"COMBINADO SUNSHINE";"COMBINADOS";"4,000";"723,01"
"MOSCOW MULE SMIRNOFF";"DRINKS";"28,000";"705,33"
"FITZGERALD BOMBAY";"DRINKS";"26,000";"680,43"
"COMBINADO SUNRISE";"COMBINADOS";"5,000";"593,21"
"SASHIMI SALMAO";"SASHIMI";"13,000";"537,23"
"COMBINADO MIX";"COMBINADOS";"2,000";"528,00"
"COMBINADO SUNSET";"COMBINADOS";"10,000";"433,31"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"31,000";"332,43"
"COCONUT SHRIMP";"FRUTAS";"7,000";"328,60"
"COMBINADO LOW CARB 12 PECAS";"COMBINADOS";"2,000";"319,00"
"ROCK CHICKEN";"FRUTAS";"8,000";"315,57"
"VISIONARIO ROSE";"ROSE";"3,000";"313,50"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"7,000";"294,12"
"HARUMAKI DE SALMAO C/ CATUPIRY - 2 UN";"FRUTAS";"11,000";"286,09"
"CERVEJA HEINEKEN";"CERVEJAS";"18,000";"284,35"
"CASA VALDUGA NATURELLE BRANCO FRISANTE";"BRANCOS";"2,000";"283,59"
"MANHANTTAN";"ESPECIAIS ";"7,000";"281,21"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"10,000";"272,51"
"EBISHIN";"FRUTAS";"8,000";"271,95"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"7,000";"268,09"
"MADAME";"DRINKS";"11,000";"267,15"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"6,000";"254,96"
"MORANDE PIONERO RESERVA SAUVIGNON BLANC ";"BRANCOS";"2,000";"242,00"
"MONTE INFINITUS CHARDONNAY";"BRANCOS";"2,000";"173,58"
"GYOZA BOVINA";"FRUTAS";"7,000";"172,91"
"USSUZUKURI TRUFADO";"TRUFADOS";"2,000";"172,18"
"SALMON  BALL";"FRUTAS";"5,000";"171,94"
"TEMAKI HARU CAMARAO C/ QUEIJO";"TEMAKI";"4,000";"171,18"
"VINHO BRANCO TAÇA";"TACAS";"6,000";"170,68"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"16,000";"155,75"
"BROWNIE DE BRIGADEIRO C/SORVETE";"SOBREMESA FUJI";"4,000";"152,82"
