"Produto";"Grupo";"Quantidade";"Valor"
"COMBINADO PRIME";"COMBINADOS";"10,000";"786,66"
"COMBINADO SUNSET";"COMBINADOS";"12,000";"520,41"
"COMBINADO LOW CARB 12 PECAS";"COMBINADOS";"3,000";"475,39"
"COUVERT ARTISTICO";"SUCOS E AGUA DE COCO";"26,000";"365,30"
"COMBINADO SUNSHINE";"COMBINADOS";"2,000";"337,31"
"FITZGERALD BOMBAY";"DRINKS";"11,000";"296,20"
"FETTUCCINE DE FILE AO FUNGHI ";"PASTE";"4,000";"281,60"
"TERRE SICILIANE PINOT GRIGIO";"BRANCOS";"2,000";"273,55"
"COMBINADO MIX";"COMBINADOS";"1,000";"262,30"
"GAMBERI GRATINATE";"DEL MARE";"3,000";"244,20"
"COMBINADO ESPECIAL";"COMBINADOS";"1,000";"217,80"
"FUJIYAMA SALMAO C/ QUEIJO";"TEMAKI";"3,000";"213,80"
"SALMÃO NA CROSTA DE GERGELIM";"DEL MARE";"2,000";"194,49"
"ROCK CHICKEN";"FRUTAS";"7,000";"191,60"
"CARBONARA ";"PASTE";"3,000";"191,40"
"FILETTO ALLA ITA";"LA CARNE";"2,000";"189,20"
"TARTAR SHAKE CROCK";"ENTRADAS SUSHI";"2,000";"175,17"
"RISOTTO SURF AND TURF";"RISOTTI";"2,000";"171,60"
"COCONUT SHRIMP";"FRUTAS";"4,000";"163,78"
"CERVEJA HEINEKEN";"CERVEJAS";"10,000";"162,90"
"TATAKI DE SALMÃO";"ENTRADAS SUSHI";"3,000";"156,47"
"BRUSQUETA PARMA,BRIE & MELE AL TARTUFO";"ENTRADAS ITA";"3,000";"128,70"
"COCA COLA ZERO LATA";"BEBIDAS GELADAS";"14,000";"128,27"
"MOSCOW MULE SMIRNOFF";"DRINKS";"5,000";"122,85"
"AGUA INDAIA COM GAS ";"BEBIDAS GELADAS";"12,000";"117,27"
"AGUA INDAIA SEM GAS";"BEBIDAS GELADAS";"12,000";"116,75"
"STEAK  TARTUFO";"LA CARNE";"1,000";"108,90"
"ROCK SHIRIMP";"FRUTAS";"2,000";"105,60"
"MORANDE VISIONARIO ROSE";"BRANCOS";"1,000";"104,50"
"MADAME";"DRINKS";"4,000";"101,59"
"GYOZA BOVINA";"FRUTAS";"4,000";"100,27"
"MONTE INFINITUS SAUVIGNON BLANC ";"BRANCOS";"1,000";"98,35"
"IL VERO CARPACCIO";"ENTRADAS ITA";"2,000";"97,22"
"FILETTO AL PEPPE VERDE";"LA CARNE";"1,000";"94,60"
"AVELEDA FONTE VINHO ROSE";"BRANCOS";"1,000";"88,00"
"POLVO CONFITADO";"VERDURAS E LEGUMES";"1,000";"86,90"
"MONTE INFINITUS CARBERNET SAUVIGNON";"TINTOS";"1,000";"86,79"
"TEPPAN DE FILE MIGNON";"VERDURAS E LEGUMES";"1,000";"83,60"
"RISOTTO DE CAMARAO";"RISOTTI";"1,000";"83,60"
"SASHIMI SALMAO";"SASHIMI";"2,000";"79,33"
"SALMAO C/ SHIMEJI NO ALUMINIO";"FRUTAS";"1,000";"79,20"
"TROUXINHA DE DOCE DE LEITE 4UND";"SOBREMESA FUJI";"2,000";"75,78"
"FETTUCCINE ALFREDO COM CAMARAO";"PASTE";"1,000";"74,80"
"SPAGHETTI DE CAMARÃO AO POMODORO";"PASTE";"1,000";"74,29"
"COSMOPOLITAN";"DRINKS";"2,000";"72,14"
"BOSSA BRAMBLE";"DRINKS";"2,000";"70,16"
"GIN TONICA MACA VERDE";"DRINKS";"3,000";"65,46"
"SALMON  BALL";"FRUTAS";"3,000";"65,44"
"GENGIBRADA SMIRNOFF";"DRINKS";"3,000";"65,43"
"TORTA DI NOCCIOLE";"SOBREMESA ITA";"2,000";"63,80"
"KIR ROYAL";"DRINKS";"2,000";"61,60"
"SUCO DE FRUTA ESPECIAL";"SUCOS E AGUA DE COCO";"3,000";"55,77"
"TEMAKI HARU SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"54,89"
"VINHO BRANCO TAÇA";"TACAS";"2,000";"53,68"
"COCA COLA LATA";"BEBIDAS GELADAS";"4,000";"43,44"
"HARUMAKI PRIMAVERA - 2 UN";"FRUTAS";"2,000";"43,35"
"MELANCITA";"DRINKS";"1,000";"42,79"
"TEMAKI HARU SALMAO C/ QUEIJO";"TEMAKI";"1,000";"42,60"
"MANHANTTAN";"ESPECIAIS ";"1,000";"41,80"
"EBI RUBRA";"ESPECIAIS ";"1,000";"41,35"
"MAKIMONO SALMAO C/CREAM CHEESE";"MAKIMONO";"2,000";"39,05"
"TEMAKI SALMAO C/ QUEIJO";"TEMAKI";"1,000";"38,50"
"TEMAKI SALMAO, CAMARAO C/ QUEIJO";"TEMAKI";"1,000";"38,50"
"BROWNIE DE BRIGADEIRO C/SORVETE";"SOBREMESA FUJI";"1,000";"38,39"
"URAMAKI SKIN C/CREAM CHEESE";"URAMAKI";"2,000";"37,18"
"CARAJILLO 43";"CAFES";"1,000";"35,96"
"APPLE COSMOPOLITAN";"DRINKS";"1,000";"35,96"
"URAMAKI EBITEN";"ESPECIAIS ";"1,000";"32,47"
"TEMAKI HARU SALMAO GRELHADO C/ QUEIJO";"TEMAKI";"1,000";"30,24"
"EBISHIN";"FRUTAS";"1,000";"29,28"
"HOT SALMAO & CAMARAO C/CREAM CHEESE";"HOT";"1,000";"25,30"
"HOT SALMAO C/CREAM CHEESE";"HOT";"1,000";"21,16"
"URAMAKI CAMARAO C/CREAM CHEESE";"URAMAKI";"1,000";"20,79"
"SODA ITALIANA";"BEBIDAS GELADAS";"1,000";"19,69"
"CAFE NESPRESSO";"CAFES";"2,000";"19,58"
"GUARANA ANTARCTICA LATA";"BEBIDAS GELADAS";"2,000";"19,45"
"NIGUIRI ATUM •  DUPLA";"NIGUIRI";"1,000";"18,37"
"URAMAKI SALMAO C/CREAM CHEESE";"URAMAKI";"1,000";"18,26"
"NIGUIRI SALMAO";"NIGUIRI";"1,000";"18,26"
"CAIPIRINHA YPIOCA";"DRINKS";"1,000";"17,60"
"EMBALAGEM PARA VIAGEM";"EMBALAGENS";"3,000";"16,46"
"AGUA DE COCO JARRA";"SUCOS E AGUA DE COCO";"1,000";"16,39"
"CERVEJA SPATEN";"CERVEJAS";"1,000";"15,29"
"CERVEJA STELLA ARTOIS";"CERVEJAS";"1,000";"15,19"
"SUCO DE FRUTA NATURAL";"SUCOS E AGUA DE COCO";"1,000";"13,09"
"FANTA LARANJA LATA 350ML";"BEBIDAS GELADAS";"1,000";"9,79"
"REFRIGERANTES";"BEBIDAS GELADAS";"2,000";"0,00"
"URAMAKI SALMAO & CAMARAO C/CREAM CHEESE";"URAMAKI";"1,000";"0,00"
"ACRÉSCIMO TEMAKI SEM ARROZ";"TEMAKI";"3,000";"0,00"
"MAKIMONO SALMAO & CAMARAO C/CREAM CHEESE";"MAKIMONO";"1,000";"0,00"
