Data_Lancamento;Data_Competencia;Data_Vencimento;Data_Pagamento;Filial;Tipo_Lancamento;Sintetica;Analitica;Detalhada;Observacao;Fornecedor/Cliente;Centro_Custo;Conta;Forma_Pag/Rec;Valor_Original;Valor_Multa;Valor_Juros;Valor_Acrescimo;Valor_Desconto;Valor_Pago/Recebido;Status;Conciliado;Cod;
05/06/2025;27/05/2025;27/05/2025;27/05/2025;FUJI ALDEOTA;Despesa;10 - DESPESAS FINANCEIRAS;10.4 - TARIFAS PIX - ENVIADO;;;BANCO SANTANDER (BRASIL) S.A.;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;DÉBITO;R$1,00;;;;;-R$1,00;Liquidado;Sim;LH1749153721778;
05/06/2025;30/05/2025;30/05/2025;30/05/2025;FUJI ALDEOTA;Despesa;10 - DESPESAS FINANCEIRAS;10.4 - TARIFAS PIX - ENVIADO;;;BANCO SANTANDER (BRASIL) S.A.;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;DÉBITO;R$1,00;;;;;-R$1,00;Liquidado;Sim;SN1749153666148;
05/06/2025;16/05/2025;16/05/2025;16/05/2025;FUJI ALDEOTA;Despesa;10 - DESPESAS FINANCEIRAS;10.4 - TARIFAS PIX - ENVIADO;;;BANCO SANTANDER (BRASIL) S.A.;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;DÉBITO;R$7,00;;;;;-R$7,00;Liquidado;Sim;IR1749153471312;
05/06/2025;07/04/2025;07/04/2025;07/04/2025;FUJI ALDEOTA;Despesa;10 - DESPESAS FINANCEIRAS;10.4 - TARIFAS PIX - ENVIADO;;;BANCO SANTANDER (BRASIL) S.A.;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;DÉBITO;R$10,49;;;;;-R$10,49;Liquidado;Sim;XB1749151205847;
05/06/2025;07/04/2025;07/04/2025;07/04/2025;FUJI ALDEOTA;Despesa;10 - DESPESAS FINANCEIRAS;10.4 - TARIFAS PIX - ENVIADO;;;BANCO SANTANDER (BRASIL) S.A.;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;DÉBITO;R$6,30;;;;;-R$6,30;Liquidado;Sim;RL1749151174787;
05/06/2025;04/04/2025;04/04/2025;04/04/2025;FUJI ALDEOTA;Despesa;10 - DESPESAS FINANCEIRAS;10.4 - TARIFAS PIX - ENVIADO;;;BANCO SANTANDER (BRASIL) S.A.;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;DÉBITO;R$3,50;;;;;-R$3,50;Liquidado;Sim;LO1749150920451;
05/06/2025;04/04/2025;04/04/2025;04/04/2025;FUJI ALDEOTA;Despesa;10 - DESPESAS FINANCEIRAS;10.4 - TARIFAS PIX - ENVIADO;;;BANCO SANTANDER (BRASIL) S.A.;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;DÉBITO;R$18,62;;;;;-R$18,62;Liquidado;Sim;FC1749150876847;
05/06/2025;03/04/2025;03/04/2025;03/04/2025;FUJI ALDEOTA;Despesa;10 - DESPESAS FINANCEIRAS;10.4 - TARIFAS PIX - ENVIADO;;;BANCO SANTANDER (BRASIL) S.A.;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;DÉBITO;R$6,08;;;;;-R$6,08;Liquidado;Sim;IC1749150759750;
05/06/2025;02/04/2025;02/04/2025;02/04/2025;FUJI ALDEOTA;Despesa;10 - DESPESAS FINANCEIRAS;10.4 - TARIFAS PIX - ENVIADO;;;BANCO SANTANDER (BRASIL) S.A.;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;DÉBITO;R$11,98;;;;;-R$11,98;Liquidado;Sim;SV1749150660916;
05/06/2025;01/04/2025;01/04/2025;01/04/2025;FUJI ALDEOTA;Despesa;10 - DESPESAS FINANCEIRAS;10.4 - TARIFAS PIX - ENVIADO;;;BANCO SANTANDER (BRASIL) S.A.;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;DÉBITO;R$46,42;;;;;-R$46,42;Liquidado;Sim;DP1749150593451;
